wallet	avg_apr	total_pos_number	total_positions_earn_fees	total_fees_collected_usd	top_3_apr	top_10_apr	max_apr	min_apr	avg_hold_time
0xBB63a876Cd3eAa2C6cF9a724d795E029Ceb12Eb7	107.25	3	3	95.25	164.27/98.48/59.01	164.27/98.48/59.01	164.27	59.01	68.02
0x4d6f998ac8f21dF5e7a737C7c3323ECa6e2EaFA7	106.91	18	18	91.55	156.61/135.66/130.29	156.61/135.66/130.29/129.63/129.09/126.94/125.36/117.47/116.89/115.50	156.61	12.47	43.26
0xcDA5a93Dd9947b6FF11dB866fE90ca79d033ADD9	105.07	3	3	1390.95	199.62/81.98/33.60	199.62/81.98/33.60	199.62	33.60	62.42
0x820deEF84404ADF3710d150205baD730a50445f8	104.05	4	4	17.18	289.41/44.25/44.17	289.41/44.25/44.17/38.38	289.41	38.38	3.15
0x6405F668aC53F4f12870A62452d0B73E09eC0f94	102.81	13	13	114.92	247.85/133.41/133.09	247.85/133.41/133.09/117.49/110.69/101.64/95.59/84.81/78.51/74.45	247.85	30.96	1.64
0xA06df7D62074FD5E171ECC31046379bEC1816978	101.70	21	21	5.16	297.67/142.65/142.31	297.67/142.65/142.31/134.47/129.23/127.10/122.61/121.77/111.44/109.83	297.67	1.78	49.03
0x61865EAfff21482F7575c713C739CEE911e08c61	101.69	2	2	3.94	151.22/52.15	151.22/52.15	151.22	52.15	24.85
0xE66e3590Ce30826b68bf1a606fCf3Ea5A9f5Aa97	101.27	47	47	87.15	221.61/167.09/162.07	221.61/167.09/162.07/156.36/145.59/144.81/143.44/141.56/129.70/128.98	221.61	35.24	3.23
0xd606e02B7E51F9cb6d2A14109A5fd76DDD385643	99.64	20	20	15.80	147.89/143.20/129.34	147.89/143.20/129.34/129.02/127.91/125.72/122.62/116.83/111.93/107.22	147.89	8.18	46.20
0xB23C03B67Df4B26D71A06d0911beaa150F0527FA	99.51	1	1	4.09	99.51	99.51	99.51	99.51	3.01
0xeEa6Bca7A86C8bdF6b78d0593B8182a935480602	97.97	4	4	148.26	251.31/56.28/54.79	251.31/56.28/54.79/29.50	251.31	29.50	184.78
0xF8d96569A354Bd4484bbC6FD730a72148Bab3E9f	97.88	16	16	2.47	130.33/109.69/97.05	130.33/109.69/97.05/97.01/95.72/95.71/95.48/95.45/95.45/95.15	130.33	87.65	11.29
0xcBf08054e37ac49650539BA836bdB68a09f43E1E	97.11	2	2	51.96	186.57/7.66	186.57/7.66	186.57	7.66	22.82
0x22e0e01314065533D9c1d939B9E627450c6c0047	94.36	3	3	97.50	248.02/17.65/17.41	248.02/17.65/17.41	248.02	17.41	165.57
0x5b9C542192Ace98e3E9B631aCDa1c9B09401046D	93.81	604	604	1.78	117.47/114.77/106.52	117.47/114.77/106.52/101.68/100.64/100.32/99.70/98.03/98.01/97.66	117.47	92.25	0.02
0x57d143AAbD1dFd893BC016bc7B26Aa4c7C4B3C86	93.26	1	1	2337.70	93.26	93.26	93.26	93.26	22.94
0x722bd3B23825ADE2458fE65331f5fBDA37101dB8	93.11	60	60	121.83	221.18/182.37/163.32	221.18/182.37/163.32/162.04/161.83/155.96/152.17/148.29/146.18/142.05	221.18	1.81	3.60
0x1a102beaB69c210482F88AE1339992d3fB23a732	89.85	1	1	0.00	89.85	89.85	89.85	89.85	0.96
0x6360c781A8cC040CC6B0b3fC7D1A7beFB51E1B40	89.58	3	3	55.83	135.01/79.14/54.58	135.01/79.14/54.58	135.01	54.58	112.31
0x276eA6B3D601C71d00414137C58cA13C565abf2f	88.38	11	11	24.03	162.93/101.27/100.04	162.93/101.27/100.04/97.06/95.15/94.78/84.72/80.85/69.64/59.42	162.93	26.36	2.03
0xDC07d1fE254aa889e75e7214ae336208F8A1659D	88.34	2	2	43.22	112.59/64.10	112.59/64.10	112.59	64.10	4.07
0xE3b7FA98cf8E9f6C682FDBa4580126F45947B820	87.64	3	3	100.09	195.73/62.28/4.92	195.73/62.28/4.92	195.73	4.92	254.24
0xC487D9C970eea52eAF5218B443d3c705377b2C13	86.08	1	1	1.18	86.08	86.08	86.08	86.08	83.49
0x898952947686Fe6E6723C5484B8390b5dB212014	86.00	2	2	4.07	88.12/83.87	88.12/83.87	88.12	83.87	17.17
0xF1940Eb28476CcAf00eFA715017673472CD8C4B6	85.20	76	76	186.61	174.21/167.42/158.73	174.21/167.42/158.73/157.33/152.50/150.53/147.17/144.69/143.75/137.41	174.21	1.83	23.70
0x9Cd3EB456D3C542756E26C45ae68059F75D0D808	84.60	1	1	4.91	84.60	84.60	84.60	84.60	36.53
0x35b371D0F47F397176866FA94BFd4Fca5b89Ae10	80.34	4	4	427.26	126.59/73.63/63.37	126.59/73.63/63.37/57.79	126.59	57.79	17.38
0xAaBE51a78c59d15EF60bfACD7c34f16a771A97f9	78.73	9	9	307.89	105.37/102.29/96.79	105.37/102.29/96.79/95.49/94.79/94.11/64.72/49.27/5.75	105.37	5.75	11.57
0x84c95281DF32485dB28F17f4E3a20CC683532A88	78.30	6	6	92.39	109.62/102.90/99.28	109.62/102.90/99.28/78.73/75.91/3.36	109.62	3.36	41.63
0x33125a576FBC8A3bF24f88ba37e38f729aF455ff	77.92	7	7	1832.34	294.92/66.25/65.23	294.92/66.25/65.23/52.95/33.91/29.86/2.31	294.92	2.31	58.42
0x046cC6C199B2aC82A5775AE9Fc2bc61a2091773F	77.73	1	1	1.23	77.73	77.73	77.73	77.73	36.56
0x8181610254895cFA22923B77D12634A9AF59Cc56	76.71	44452	44452	92984.71	231.01/219.06/210.04	231.01/219.06/210.04/209.62/209.62/209.59/209.52/209.52/208.30/208.27	231.01	1.66	0.04
0x36958891d6A3e16d1139bf26dd0443Bc6145afCb	76.65	3	3	251.28	95.09/82.78/52.07	95.09/82.78/52.07	95.09	52.07	220.58
0x4266bCa337eE8cF4150AbD14Be0c4347336AD304	73.47	2	2	329.02	104.65/42.29	104.65/42.29	104.65	42.29	67.69
0x239330Fad3e8aaD392D225b6BD7b8925faEEb503	73.09	4	4	125.06	255.30/14.00/12.44	255.30/14.00/12.44/10.63	255.30	10.63	62.54
0x3C756D97bd2A444C5a5e88aac9eF15cb3C54cdeB	72.99	40	40	60.80	152.32/152.23/149.03	152.32/152.23/149.03/148.95/117.91/117.70/115.47/97.65/96.87/94.78	152.32	16.50	1.24
0x92376FC45Ad8fFa276Ab9DBFd685B5A3794EC269	72.40	11	11	250.05	180.58/148.91/101.52	180.58/148.91/101.52/81.92/68.14/66.03/45.08/37.64/34.14/27.19	180.58	5.21	29.58
0xcf0f6f5F042c29655f46824812257f56fb4d8c05	72.05	1	1	15.26	72.05	72.05	72.05	72.05	46.26
0xdCF887296B5Dcd2D1BC63BCe51c21F56716b137a	71.85	2	2	1.15	98.91/44.80	98.91/44.80	98.91	44.80	23.22
0x6A0D4F09a89C2b44d86412d5B59EDb4Be17fc6BF	71.42	1	1	17.98	71.42	71.42	71.42	71.42	165.48
0x3Db5343662CEd02252d25d8e6a51D8090eAdEDc5	70.58	1	1	2.92	70.58	70.58	70.58	70.58	50.39
0x095d6ac85C4BC270d328FE3407c3070bDD259B0f	70.14	3	3	1.02	95.26/57.61/57.56	95.26/57.61/57.56	95.26	57.56	1.67
0x36fC8Ef15a0F8a0A729Ce5237915D61dD95B3394	69.59	21	21	42.55	152.37/150.17/118.03	152.37/150.17/118.03/96.30/95.40/82.55/62.63/62.23/61.02/60.37	152.37	6.12	6.45
0xc65B01b4A8289056d66fba38a05986ab776BE888	68.52	11	11	5245.49	102.56/102.44/89.35	102.56/102.44/89.35/89.00/86.43/56.82/54.86/53.72/48.22/35.22	102.56	35.13	146.86
0x12Bf29683b426D5EEcdC78CBDB124dC1Cb56E5be	68.29	1	1	0.08	68.29	68.29	68.29	68.29	86.32
0x2dccf9807b9fCA043d5bD2D5EE267124a277242D	68.28	2	2	1.24	75.80/60.76	75.80/60.76	75.80	60.76	6.48
0xc4444dE6F71F1F5D9c27Ea575870b3Bc441B7D00	67.94	2	2	0.01	83.02/52.87	83.02/52.87	83.02	52.87	0.02
0xB9994F6bF7c1F4538cC0BC5a0d5e9744DaeE1F6D	67.78	4	4	89.18	90.77/88.60/68.17	90.77/88.60/68.17/23.59	90.77	23.59	96.11
0x7BCEC7Ab4764bF9Bda1BC764AD1b609870EaBE43	67.69	2	2	0.05	67.97/67.42	67.97/67.42	67.97	67.42	0.09
0x6CcC563991e20Ff2C942425609E260dA32a0Cef1	65.07	1	1	0.02	65.07	65.07	65.07	65.07	0.04
0xE5511270ffcdA12988f86aa6F8D6E7f4E82Ff30e	64.49	1	1	32.84	64.49	64.49	64.49	64.49	146.64
0x1cFf91265d7B746CbbA7225D8e5397f544ffe1dB	62.24	1	1	2.70	62.24	62.24	62.24	62.24	0.73
0xf81dd80552dCc80Fb6D0A284ecc0B6bd4df82341	61.62	1	1	22.21	61.62	61.62	61.62	61.62	33.09
0x418460D2053a55A1bEf13Ac8A90240CEd71669C3	61.32	1	1	0.57	61.32	61.32	61.32	61.32	100.26
